artifact_edge_id	loop_ref	artifact_object_id	artifact_role	artifact_category	coverage_resolution	coverage_evidence_kind	coverage_evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
artifact-edge-216198663489031	loop-235394671277145	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:a86da9e5:9d00f886:c1d2fe08:d1e72c1e:d1561daf:8d6c2477:3a23ec08:156e9bbc	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216328326144960	loop-210435916156224	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:9214ed54:15499474:f62e98cd:8b7842ee:df5ad9c8:0adc0439:f626731a:634ae379	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216352430285868	loop-131203421144519	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:6eedcf05:e3ed5b31:ae98b626:6be55012:da8dbc4c:ea37a3d2:2892299b:f5eedba4	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216389561436142	loop-125911528144743	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:24b7f0b8:bd51012a:2df3befa:10b350d5:7218f319:21a6398e:58e70759:b2f255e2	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216474568378041	loop-256834037813205	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:745893fe:17216966:e2fa5666:4c833c27:dda13f6f:c5e68574:ad214930:528c0523	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216594114275447	loop-114383488038555	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:75466c12:b530da25:6c7d9e0e:b194a475:8cd49a9e:f28f6319:0cd09cac:cca8d331	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216773905277077	loop-234558415149182	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:8256c55d:2cc75b8d:add30bd2:647048cc:794194d5:4b553781:2cdf8756:2d1d51ef	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216972106242973	loop-267801213808960	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:856bb9cf:26be5cc1:0c5d3213:3e0fa1c9:1a19e6cd:9ab85606:de8a6785:2ccd8f7b	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217066427305814	loop-170098090350642	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:c151f52c:0746dd4d:5d99fd13:ff86bc0e:3a905643:c38d75e7:6f92b971:2f9a588b	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217109995516512	loop-177402702362483	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:da61ca69:5859c407:15077608:308bb16c:808a04b0:132b1019:5787aa4e:e897926a	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217124255327269	loop-253139353642880	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:8a82fd8c:65577259:a2321835:4ebac907:7af0b33e:ed19c995:88bc1351:c81f665b	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217127330443510	loop-074396312045917	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:1909b356:c79d021e:df2bf6a3:ee76a69c:b419f34f:05167b58:a176308f:42312594	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217139525359654	loop-137712066048244	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:0e5de13b:063858a1:dcd3e29b:65c075ea:5839d7b2:e5003368:50aca481:ea7d088a	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217288477542724	loop-278974739877248	artifact-object-016118645410762	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:56b61d02:c6a4d79e:6b1ef369:c3b7cfbb:83d3b663:d0142a42:4b58824b:48195fc8	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217494110474160	loop-281321989422760	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:8cbec5ed:7a7153c0:6f44d2aa:e56f302c:41a582dd:7b032046:05010843:facf209d	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217522903673159	loop-013596453037573	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:de0fce79:d9058154:f93e90c4:50ed197d:cce7deaa:b3ec5377:7df8789b:5a7c49b9	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217534108040572	loop-133704202480015	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:9d926735:dca119bb:b43a01d2:faa231f7:0d6faac7:dbb45629:a0dcfb26:662c1455	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-217679044342976	loop-160105547717190	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:0f4e41e5:42ca799a:4e815666:393c02fa:420ba6ec:7f3dae27:479225a0:bbdeff50	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
